"","logFC","AveExpr","t","P.Value","adj.P.Val","B"
"RPLP0",-0.14087759462257,13.700072580838,-2.79138350923016,0.00625299331175633,0.015841148139813,-3.1997808575341
"LRRC49",0.239743086532115,6.99842362668879,2.79128759804397,0.0062547144727174,0.015841148139813,-3.20002981339798
"MLH1",-0.107338054567688,9.77291697786253,-2.79074982074259,0.00626437309812094,0.0158611234014357,-3.2014255814255
"IFNGR1",-0.158409837028858,12.1892911449715,-2.78893082874128,0.00629714372765358,0.0159395894242812,-3.20614495242129
"C11orf24",-0.1417433577089,9.34077187985855,-2.78809246001958,0.00631230026567472,0.0159734381793629,-3.20831920887484
"ACACB",0.171013084889947,7.95836115854523,2.78774827045079,0.0063185323727497,0.0159846906847211,-3.20921168030383
"SNX5",0.1451272312544,10.0056734493082,2.78751263413136,0.00632280218746421,0.0159909740068834,-3.20982262241914
"EMCN",-0.410033524194041,6.79201223952643,-2.78739492114502,0.00632493617569588,0.0159918535953135,-3.21012780417945
"TMOD3",0.236737347687146,8.62276383680129,2.78714589049158,0.00632945295536162,0.0159987555927026,-3.21077340261348
"INTS9",0.12988063614107,8.37783213335318,2.78618521554422,0.00634690475209765,0.0160383398943072,-3.21326343604535
"SFXN2",0.157268483725792,8.73519932590496,2.78600863359361,0.00635011734793309,0.0160419301964009,-3.21372104962538
"MRPL47",0.10681061464954,10.5256242492029,2.78467242722694,0.00637447542013077,0.0160989219848888,-3.21718303192326
"CAPN1",0.181629260891353,9.9918589214939,2.78438933137405,0.00637964698989975,0.0161074392274598,-3.21791632292781
"CTSS",-0.187651761460656,11.1187772628458,-2.78384008205897,0.00638969155351656,0.0161282516150645,-3.21933883712355
"SLC16A1",-0.482700004752318,7.30526039576026,-2.78296312861054,0.00640575903709233,0.0161642504676121,-3.22160958045712
"ARHGAP17",0.144173554576636,9.87849541960573,2.78132034387039,0.00643595732593883,0.0162358765678023,-3.22586167808788
"TMEM187",0.230182686548631,7.53189774877796,2.78091599081281,0.00644341019727538,0.0162500990130159,-3.22690795339416
"ECHS1",0.143537847404723,11.3779673287316,2.78052953341764,0.0064505405842519,0.0162605541685517,-3.22790780097357
"PDLIM5",0.243436695631142,9.2917607098698,2.78049445009604,0.00645118825049656,0.0162605541685517,-3.22799856308505
"MON2",-0.130889755032057,9.64008553035814,-2.78007059536744,0.00645901764002801,0.0162757064258854,-3.22909501632289
"CDK5RAP2",-0.446880462705334,6.98551094713979,-2.77989679704527,0.00646223052640831,0.0162792205691991,-3.22954456688141
"RPS23",-0.156447500434689,13.6156459205761,-2.77889043350636,0.00648086314868764,0.0163213369880471,-3.23214717401121
"BACE2",0.231853932030918,11.4253242220511,2.77879702113813,0.00648259514458792,0.0163213369880471,-3.23238871133108
"ALPK1",-0.320581032105489,7.49846392918023,-2.77840758690429,0.00648982035214041,0.016334934386481,-3.23339560022829
"DPM3",0.199960446177778,9.64331159999199,2.77776455638209,0.0065017666411083,0.0163571849545918,-3.23505790115386
"C11orf57",0.160197274333858,7.77618905292414,2.77773509554842,0.00650231444805008,0.0163571849545918,-3.2351340525554
"TOMM22",0.249381165466051,9.57432181217883,2.77622284343142,0.0065304905248446,0.0164234499070038,-3.23904204251744
"PLEKHB1",0.278311288883232,7.51691036243565,2.77564103200988,0.00654136040028776,0.0164461667126583,-3.24054508296365
"LYPLA2",0.15538551831857,10.1514264749704,2.7752781631957,0.00654814816767569,0.0164586104843348,-3.24148237412745
"RAB9A",0.157259055849326,10.4367395831837,2.77498610558829,0.00655361601882645,0.0164677306249097,-3.24223668320798
"TFDP1",0.202212051099402,8.46531987375941,2.77465814092857,0.0065597610808595,0.0164785468453802,-3.24308364952391
"XPA",-0.112230051031615,8.50609716203306,-2.77344491705171,0.00658253893479149,0.0165311279335731,-3.2462160429405
"ABHD12",0.174527127920492,8.72458849522334,2.7726129134112,0.00659820119736268,0.0165658147279832,-3.24836349195362
"KNTC1",-0.247228127216791,7.86317163878181,-2.77045675904052,0.00663894861119981,0.0166634446078138,-3.2539260704053
"COQ7",0.412930912112285,6.95746794694497,2.76995641894049,0.00664843688568715,0.0166825478126087,-3.25521634607402
"FAM13B",-0.154688888096228,8.97362731478219,-2.76985897121288,0.00665028628875242,0.0166825478126087,-3.25546762067601
